0 287.493 2.55449e+19 101394
1 284.671 2.28965e+19 89990.1
2 279.948 2.06315e+19 79742.7
3 273.87 1.86442e+19 70497
4 266.955 1.68598e+19 62140.3
5 259.668 1.52267e+19 54589.4
6 252.396 1.37116e+19 47780.9
7 245.454 1.22945e+19 41664.1
8 239.088 1.0965e+19 36195.2
9 233.496 9.71957e+18 31333.5
10 228.837 8.55829e+18 27039.3
11 225.2 7.48485e+18 23272
12 222.471 6.50749e+18 19988
13 220.514 5.63005e+18 17140.8
14 219.215 4.85142e+18 14683.3
15 218.479 4.16709e+18 12569.7
16 218.219 3.57045e+18 10757.2
17 218.35 3.05377e+18 9206.04
18 218.794 2.60881e+18 7880.62
19 219.47 2.22734e+18 6749.06
20 220.299 1.90144e+18 5783.36
21 221.219 1.62367e+18 4959.11
22 222.228 1.38694e+18 4255.38
23 223.342 1.18511e+18 3654.35
24 224.578 1.01298e+18 3140.87
25 225.954 8.66137e+17 2702.03
26 227.489 7.40843e+17 2326.85
27 229.202 6.3391e+17 2006
28 231.118 5.42628e+17 1731.48
29 233.258 4.64691e+17 1496.53
30 235.651 3.98134e+17 1295.33
31 238.326 3.41282e+17 1122.97
32 241.316 2.92709e+17 975.225
33 244.616 2.5124e+17 848.508
34 247.981 2.16046e+17 739.687
35 251.341 1.86173e+17 646.044
36 254.658 1.60779e+17 565.289
37 257.896 1.39159e+17 495.495
38 261.012 1.20721e+17 435.039
39 263.961 1.0497e+17 382.549
40 266.696 9.14878e+16 336.871
41 269.167 7.99261e+16 297.025
42 271.322 6.99907e+16 262.186
43 273.112 6.14344e+16 231.652
44 274.484 5.40492e+16 204.828
45 275.392 4.76595e+16 181.21
46 275.802 4.21153e+16 160.369
47 275.74 3.72842e+16 141.941
48 275.25 3.30557e+16 125.619
49 274.378 2.93399e+16 111.145
50 273.173 2.60625e+16 98.2964
51 271.686 2.31626e+16 86.8836
52 269.967 2.05894e+16 76.7426
53 268.064 1.83007e+16 67.7311
54 266.026 1.62611e+16 59.725
55 263.897 1.44409e+16 52.6152
56 261.714 1.28151e+16 46.3054
57 259.475 1.13637e+16 40.7097
58 257.175 1.00688e+16 35.7513
59 254.807 8.91445e+15 31.3609
60 252.365 7.88591e+15 27.4766
61 249.844 6.97006e+15 24.043
62 247.242 6.15504e+15 21.0105
63 244.554 5.4286e+15 18.3293
64 241.779 4.78172e+15 15.962
65 238.915 4.20741e+15 13.8785
66 235.963 3.69786e+15 12.047
67 232.921 3.24606e+15 10.4387
68 229.791 2.84574e+15 9.02842
69 226.576 2.49129e+15 7.79331
70 223.278 2.17772e+15 6.71321
71 219.899 1.90055e+15 5.77014
72 216.445 1.65579e+15 4.94808
73 212.784 1.43912e+15 4.22783
74 208.219 1.25456e+15 3.60657
75 202.918 1.09401e+15 3.06498
76 197.173 9.52561e+14 2.59313
77 191.236 8.26807e+14 2.18301
78 185.315 7.14439e+14 1.82793
79 179.578 6.13895e+14 1.52205
80 174.152 5.24104e+14 1.26017
81 169.135 4.44287e+14 1.03748
82 164.599 3.73818e+14 0.849515
83 160.6 3.12122e+14 0.692072
84 157.18 2.58616e+14 0.561224
85 154.38 2.12683e+14 0.453321
86 152.238 1.73658e+14 0.365007
87 150.799 1.40847e+14 0.293243
88 150.119 1.13536e+14 0.235316
89 150.273 9.10196e+13 0.188842
90 151.36 7.26188e+13 0.151755
91 153.477 5.77146e+13 0.122296
92 156.588 4.57783e+13 0.0989695
93 160.634 3.63064e+13 0.0805202
94 165.566 2.88374e+13 0.0659192
95 171.33 2.29716e+13 0.0543385
96 177.854 1.8375e+13 0.0451205
97 185.035 1.47761e+13 0.0377482
98 192.719 1.19578e+13 0.031817
99 200.686 9.7489e+12 0.0270119
100 208.629 8.01533e+12 0.0230877
101 216.22 6.65064e+12 0.0198538
102 223.37 5.56572e+12 0.0171644
103 230.08 4.6935e+12 0.0149093
104 236.382 3.98472e+12 0.0130046
105 242.338 3.40285e+12 0.0113854
106 248.037 2.92051e+12 0.0100014
107 253.601 2.51703e+12 0.00881296
108 259.175 2.17664e+12 0.00778868
109 264.94 1.88722e+12 0.00690325
110 271.104 1.63938e+12 0.00613618
111 277.875 1.42596e+12 0.00547067
112 285.311 1.24204e+12 0.00489258
113 293.436 1.08353e+12 0.00438974
114 302.271 9.46894e+11 0.00395167
115 311.835 8.29054e+11 0.00356936
116 322.147 7.2736e+11 0.00323509
117 333.221 6.3953e+11 0.00294223
118 345.061 5.63607e+11 0.00268507
119 357.664 4.97915e+11 0.00245875
120 371.009 4.41021e+11 0.00225906
121 385.06 3.917e+11 0.00208241
122 399.754 3.48909e+11 0.0019257
123 414.997 3.11758e+11 0.00178627
124 430.831 2.79395e+11 0.00166191
125 446.204 2.51672e+11 0.00155043
126 461.213 2.27718e+11 0.00145005
127 475.868 2.06891e+11 0.00135929
128 490.177 1.88678e+11 0.0012769
129 504.149 1.72667e+11 0.00120185
